Time,Length,Brand,Device,Action,Source
0.07900000002700835,-14,Apple,AppleWatch,AppleWatch_blood,1
0.18099999998230487,11,Apple,AppleWatch,AppleWatch_blood,1
0.3070000000298023,-8,Apple,AppleWatch,AppleWatch_blood,1
12.10999999998603,-256,Apple,AppleWatch,AppleWatch_blood,1
12.11199999996461,-256,Apple,AppleWatch,AppleWatch_blood,1
12.114000000059605,-256,Apple,AppleWatch,AppleWatch_blood,1
12.114000000059605,-256,Apple,AppleWatch,AppleWatch_blood,1
12.116000000038184,-256,Apple,AppleWatch,AppleWatch_blood,1
12.138999999966472,-119,Apple,AppleWatch,AppleWatch_blood,1
12.141000000061467,76,Apple,AppleWatch,AppleWatch_blood,1
12.17000000004191,84,Apple,AppleWatch,AppleWatch_blood,1
12.173999999999069,-8,Apple,AppleWatch,AppleWatch_blood,1
12.202999999979511,-256,Apple,AppleWatch,AppleWatch_blood,1
12.202999999979511,-256,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,-256,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,-256,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,-24,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,256,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,256,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,256,Apple,AppleWatch,AppleWatch_blood,1
12.20499999995809,139,Apple,AppleWatch,AppleWatch_blood,1
12.207000000053085,-8,Apple,AppleWatch,AppleWatch_blood,1
12.216000000014901,11,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,256,Apple,AppleWatch,AppleWatch_blood,1
12.224000000045635,42,Apple,AppleWatch,AppleWatch_blood,1
12.23300000000745,-76,Apple,AppleWatch,AppleWatch_blood,1
12.23300000000745,-8,Apple,AppleWatch,AppleWatch_blood,1
12.23300000000745,-8,Apple,AppleWatch,AppleWatch_blood,1
12.23499999998603,-8,Apple,AppleWatch,AppleWatch_blood,1
12.23499999998603,-8,Apple,AppleWatch,AppleWatch_blood,1
12.23499999998603,-8,Apple,AppleWatch,AppleWatch_blood,1
12.261999999987893,-76,Apple,AppleWatch,AppleWatch_blood,1
12.261999999987893,-8,Apple,AppleWatch,AppleWatch_blood,1
12.261999999987893,-8,Apple,AppleWatch,AppleWatch_blood,1
12.263999999966472,-84,Apple,AppleWatch,AppleWatch_blood,1
12.263999999966472,-8,Apple,AppleWatch,AppleWatch_blood,1
12.263999999966472,76,Apple,AppleWatch,AppleWatch_blood,1
12.26500000001397,-8,Apple,AppleWatch,AppleWatch_blood,1
12.290999999968335,-11,Apple,AppleWatch,AppleWatch_blood,1
12.290999999968335,-8,Apple,AppleWatch,AppleWatch_blood,1
12.290999999968335,-8,Apple,AppleWatch,AppleWatch_blood,1
12.295999999972992,-8,Apple,AppleWatch,AppleWatch_blood,1
12.295999999972992,-8,Apple,AppleWatch,AppleWatch_blood,1
12.320999999996275,-76,Apple,AppleWatch,AppleWatch_blood,1
12.334000000031665,11,Apple,AppleWatch,AppleWatch_blood,1
12.337000000057742,-8,Apple,AppleWatch,AppleWatch_blood,1
12.349999999976717,-84,Apple,AppleWatch,AppleWatch_blood,1
12.349999999976717,76,Apple,AppleWatch,AppleWatch_blood,1
12.351999999955297,-8,Apple,AppleWatch,AppleWatch_blood,1
12.408999999985099,-84,Apple,AppleWatch,AppleWatch_blood,1
12.410000000032596,76,Apple,AppleWatch,AppleWatch_blood,1
12.410999999963678,-11,Apple,AppleWatch,AppleWatch_blood,1
12.413000000058673,-8,Apple,AppleWatch,AppleWatch_blood,1
12.451000000000931,11,Apple,AppleWatch,AppleWatch_blood,1
12.454000000027008,-8,Apple,AppleWatch,AppleWatch_blood,1
12.530999999959022,-8,Apple,AppleWatch,AppleWatch_blood,1
12.559000000008382,-11,Apple,AppleWatch,AppleWatch_blood,1
14.918999999994412,165,Apple,AppleWatch,AppleWatch_blood,1
14.989000000059605,-76,Apple,AppleWatch,AppleWatch_blood,1
14.991000000038184,-76,Apple,AppleWatch,AppleWatch_blood,1
14.991000000038184,-100,Apple,AppleWatch,AppleWatch_blood,1
14.991000000038184,76,Apple,AppleWatch,AppleWatch_blood,1
14.993000000016764,-76,Apple,AppleWatch,AppleWatch_blood,1
14.993000000016764,-8,Apple,AppleWatch,AppleWatch_blood,1
14.993000000016764,76,Apple,AppleWatch,AppleWatch_blood,1
15.021999999997206,-8,Apple,AppleWatch,AppleWatch_blood,1
15.021999999997206,-8,Apple,AppleWatch,AppleWatch_blood,1
15.079000000027008,-11,Apple,AppleWatch,AppleWatch_blood,1
15.089999999967404,11,Apple,AppleWatch,AppleWatch_blood,1
15.258000000030734,-8,Apple,AppleWatch,AppleWatch_blood,1
25.819000000017695,-100,Apple,AppleWatch,AppleWatch_blood,1
25.820000000065193,76,Apple,AppleWatch,AppleWatch_blood,1
25.820999999996275,-76,Apple,AppleWatch,AppleWatch_blood,1
25.822000000043772,76,Apple,AppleWatch,AppleWatch_blood,1
25.849999999976717,-8,Apple,AppleWatch,AppleWatch_blood,1
25.849999999976717,-8,Apple,AppleWatch,AppleWatch_blood,1
25.87100000004284,76,Apple,AppleWatch,AppleWatch_blood,1
25.9089999999851,-76,Apple,AppleWatch,AppleWatch_blood,1
25.9089999999851,-8,Apple,AppleWatch,AppleWatch_blood,1
25.92099999997299,11,Apple,AppleWatch,AppleWatch_blood,1
25.95200000004843,-8,Apple,AppleWatch,AppleWatch_blood,1
25.969000000040978,-11,Apple,AppleWatch,AppleWatch_blood,1
28.008999999961816,-100,Apple,AppleWatch,AppleWatch_blood,1
28.010000000009313,76,Apple,AppleWatch,AppleWatch_blood,1
28.01100000005681,-76,Apple,AppleWatch,AppleWatch_blood,1
28.011999999987893,76,Apple,AppleWatch,AppleWatch_blood,1
28.040999999968335,-8,Apple,AppleWatch,AppleWatch_blood,1
28.040999999968335,-8,Apple,AppleWatch,AppleWatch_blood,1
28.054000000003725,165,Apple,AppleWatch,AppleWatch_blood,1
28.0910000000149,-8,Apple,AppleWatch,AppleWatch_blood,1
28.099000000045635,-64,Apple,AppleWatch,AppleWatch_blood,1
28.123999999952503,11,Apple,AppleWatch,AppleWatch_blood,1
28.158000000054017,-11,Apple,AppleWatch,AppleWatch_blood,1
28.27800000004936,-8,Apple,AppleWatch,AppleWatch_blood,1
0.0,-256,Apple,AppleWatch,AppleWatch_blood,2
0.005000000004656613,-256,Apple,AppleWatch,AppleWatch_blood,2
