"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"2059","69181.964000","controller","0.039000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2061","69182.218000","remote ()","0.254000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"2063","69182.218000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"2064","69182.221000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2067","69182.361000","remote ()","0.097000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2068","69182.362000","remote ()","0.001000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2069","69182.362000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2070","69182.362000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2071","69182.512000","controller","0.150000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2082","69184.246000","remote ()","0.245000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2083","69184.249000","remote ()","0.003000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2089","69185.861000","controller","0.027000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"2178","69188.748000","remote ()","0.003000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2263","69190.728000","remote ()","0.589000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"2265","69190.728000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"2267","69190.759000","remote ()","0.025000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2268","69190.908000","controller","0.149000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2272","69191.208000","controller","0.138000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"2276","69191.376000","localhost ()","0.010000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"2278","69191.789000","remote ()","0.160000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2279","69191.916000","controller","0.127000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2281","69191.934000","remote ()","0.018000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2282","69191.938000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"2285","69192.228000","controller","0.219000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2290","69193.384000","remote ()","0.267000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2291","69193.388000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2292","69193.388000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2293","69193.530000","remote ()","0.142000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2294","69193.532000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2295","69193.534000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2296","69193.674000","remote ()","0.140000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2297","69193.678000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2298","69193.963000","remote ()","0.285000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2301","69194.108000","remote ()","0.050000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2302","69194.253000","remote ()","0.145000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2303","69194.254000","remote ()","0.001000","localhost ()","ATT","69","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2304","69194.254000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2311","69195.229000","localhost ()","0.200000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"2314","69195.847000","remote ()","0.319000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2315","69195.847000","remote ()","0.000000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"2317","69195.847000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"2318","69195.850000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2320","69195.851000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2321","69195.852000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2322","69195.852000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2323","69195.853000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2324","69195.854000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
