Time,Length,Device,Action,Source
12.224000000045635,42,AppleWatch,successful,1
12.23300000000745,-76,AppleWatch,successful,1
12.23300000000745,-8,AppleWatch,successful,1
12.23300000000745,-8,AppleWatch,successful,1
12.23499999998603,-8,AppleWatch,successful,1
12.23499999998603,-8,AppleWatch,successful,1
12.23499999998603,-8,AppleWatch,successful,1
12.261999999987893,-76,AppleWatch,successful,1
12.261999999987893,-8,AppleWatch,successful,1
12.261999999987893,-8,AppleWatch,successful,1
12.263999999966472,-84,AppleWatch,successful,1
12.263999999966472,-8,AppleWatch,successful,1
12.263999999966472,76,AppleWatch,successful,1
12.26500000001397,-8,AppleWatch,successful,1
12.290999999968335,-11,AppleWatch,successful,1
12.290999999968335,-8,AppleWatch,successful,1
12.290999999968335,-8,AppleWatch,successful,1
12.295999999972992,-8,AppleWatch,successful,1
12.295999999972992,-8,AppleWatch,successful,1
12.320999999996275,-76,AppleWatch,successful,1
12.334000000031665,11,AppleWatch,successful,1
12.337000000057742,-8,AppleWatch,successful,1
12.349999999976717,-84,AppleWatch,successful,1
12.349999999976717,76,AppleWatch,successful,1
12.351999999955297,-8,AppleWatch,successful,1
12.408999999985099,-84,AppleWatch,successful,1
12.410000000032596,76,AppleWatch,successful,1
12.410999999963678,-11,AppleWatch,successful,1
12.413000000058673,-8,AppleWatch,successful,1
12.451000000000931,11,AppleWatch,successful,1
12.454000000027008,-8,AppleWatch,successful,1
12.530999999959022,-8,AppleWatch,successful,1
12.559000000008382,-11,AppleWatch,successful,1
14.918999999994412,165,AppleWatch,successful,1
14.989000000059605,-76,AppleWatch,successful,1
14.991000000038184,-76,AppleWatch,successful,1
14.991000000038184,-100,AppleWatch,successful,1
14.991000000038184,76,AppleWatch,successful,1
14.993000000016764,-76,AppleWatch,successful,1
14.993000000016764,-8,AppleWatch,successful,1
14.993000000016764,76,AppleWatch,successful,1
15.021999999997206,-8,AppleWatch,successful,1
15.021999999997206,-8,AppleWatch,successful,1
15.079000000027008,-11,AppleWatch,successful,1
15.089999999967404,11,AppleWatch,successful,1
15.258000000030734,-8,AppleWatch,successful,1
25.819000000017695,-100,AppleWatch,successful,1
25.820000000065193,76,AppleWatch,successful,1
25.820999999996275,-76,AppleWatch,successful,1
25.822000000043772,76,AppleWatch,successful,1
25.849999999976717,-8,AppleWatch,successful,1
25.849999999976717,-8,AppleWatch,successful,1
25.87100000004284,76,AppleWatch,successful,1
25.9089999999851,-76,AppleWatch,successful,1
25.9089999999851,-8,AppleWatch,successful,1
25.92099999997299,11,AppleWatch,successful,1
25.95200000004843,-8,AppleWatch,successful,1
25.969000000040978,-11,AppleWatch,successful,1
28.008999999961816,-100,AppleWatch,successful,1
28.010000000009313,76,AppleWatch,successful,1
28.01100000005681,-76,AppleWatch,successful,1
28.011999999987893,76,AppleWatch,successful,1
28.040999999968335,-8,AppleWatch,successful,1
28.040999999968335,-8,AppleWatch,successful,1
28.054000000003725,165,AppleWatch,successful,1
28.0910000000149,-8,AppleWatch,successful,1
28.099000000045635,-64,AppleWatch,successful,1
28.123999999952503,11,AppleWatch,successful,1
28.158000000054017,-11,AppleWatch,successful,1
28.27800000004936,-8,AppleWatch,successful,1
0.0,-256,AppleWatch,successful,2
0.005000000004656613,-256,AppleWatch,successful,2
0.005000000004656613,-256,AppleWatch,successful,2
0.0070000000996515155,-256,AppleWatch,successful,2
0.03200000000651926,-220,AppleWatch,successful,2
0.03400000010151416,76,AppleWatch,successful,2
0.0590000000083819,84,AppleWatch,successful,2
0.062000000034458935,-8,AppleWatch,successful,2
0.09000000008381903,-256,AppleWatch,successful,2
0.09200000006239861,-256,AppleWatch,successful,2
0.0940000000409782,-256,AppleWatch,successful,2
0.09700000006705523,-256,AppleWatch,successful,2
0.09700000006705523,-24,AppleWatch,successful,2
0.09799999999813735,256,AppleWatch,successful,2
0.09799999999813735,256,AppleWatch,successful,2
0.09799999999813735,256,AppleWatch,successful,2
0.09799999999813735,139,AppleWatch,successful,2
0.10000000009313226,-8,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,256,AppleWatch,successful,2
0.1180000000167638,42,AppleWatch,successful,2
0.12200000009033829,-76,AppleWatch,successful,2
0.12200000009033829,-8,AppleWatch,successful,2
0.12400000006891787,-8,AppleWatch,successful,2
0.12400000006891787,-8,AppleWatch,successful,2
0.12400000006891787,11,AppleWatch,successful,2
0.125,-8,AppleWatch,successful,2
0.15200000000186265,-76,AppleWatch,successful,2
0.1530000000493601,-8,AppleWatch,successful,2
0.1530000000493601,-8,AppleWatch,successful,2
